Start,End,11113bus,11113car,11113motorbike,11113truck,11212bus,11212car,11212motorbike,11212truck,11323bus,11323car,11323motorbike,11323truck,21131bus,21131car,21131motorbike,21131truck,21213bus,21213car,21213motorbike,21213truck,12223person,22143person
00:00:00,00:15:00,0,22,0,0,0,2,0,0,0,2,0,0,1,13,0,0,0,0,0,0,0,9
00:15:00,00:30:00,0,12,0,0,0,2,0,0,0,9,0,0,1,7,0,0,0,0,0,0,0,0
00:30:00,00:45:00,1,17,0,0,0,2,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,2
00:45:00,01:00:00,0,11,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,2,0,0,0,0
01:00:00,01:15:00,0,11,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
01:15:00,01:30:00,0,20,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
01:30:00,01:45:00,0,16,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3
01:45:00,02:00:00,0,24,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0
02:00:00,02:15:00,1,9,0,0,0,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0
02:15:00,02:30:00,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:30:00,02:45:00,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
02:45:00,03:00:00,0,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,03:15:00,0,15,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
03:15:00,03:30:00,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
03:30:00,03:45:00,0,14,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1
03:45:00,04:00:00,1,13,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0
04:00:00,04:15:00,1,36,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
04:15:00,04:30:00,0,37,0,0,0,3,0,0,0,0,0,1,1,3,0,1,0,0,0,0,2,1
04:30:00,04:45:00,1,69,0,1,0,3,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,3
04:45:00,05:00:00,1,108,0,1,0,16,0,0,0,3,0,0,0,12,0,0,0,0,0,0,3,3
05:00:00,05:15:00,0,70,0,1,0,27,0,2,0,9,0,3,2,13,0,1,0,0,0,0,2,10
05:15:00,05:30:00,2,106,0,0,0,11,0,0,0,13,0,1,2,21,0,3,0,0,0,1,6,15
